contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,maturity
NDXP241108P18525000,2024-11-06 20:44:59+00:00,18525.0,0.65,0.0,20.0,0.0,0.0,1.0,260.0,1.2327614045715332,0.0,REGULAR,USD,2024-11-08
NDXP241108P18550000,2024-11-06 16:52:49+00:00,18550.0,0.52,0.0,20.0,0.0,0.0,2.0,20.0,1.2218666836547851,0.0,REGULAR,USD,2024-11-08
NDXP241108P18575000,2024-11-06 18:53:27+00:00,18575.0,0.55,0.0,20.0,0.0,0.0,1.0,17.0,1.211002480163574,0.0,REGULAR,USD,2024-11-08
NDXP241108P18600000,2024-11-05 17:24:56+00:00,18600.0,5.7,0.0,20.0,0.0,0.0,25.0,30.0,1.2001382766723632,0.0,REGULAR,USD,2024-11-08
NDXP241108P18625000,2024-11-07 16:10:33+00:00,18625.0,0.25,0.0,20.0,0.0,0.0,1.0,16.0,1.1892740731811524,0.0,REGULAR,USD,2024-11-08
NDXP241108P18650000,2024-11-05 14:49:35+00:00,18650.0,4.6,0.0,20.0,0.0,0.0,1.0,14.0,1.1784098696899412,0.0,REGULAR,USD,2024-11-08
NDXP241108P18675000,2024-11-04 16:43:53+00:00,18675.0,15.96,0.0,20.0,0.0,0.0,1.0,5.0,1.1675761836242677,0.0,REGULAR,USD,2024-11-08
NDXP241108P18700000,2024-11-07 20:19:58+00:00,18700.0,0.05,0.0,20.0,0.0,0.0,1.0,132.0,1.1567119801330568,0.0,REGULAR,USD,2024-11-08
NDXP241108P18725000,2024-11-04 16:43:53+00:00,18725.0,18.15,0.0,20.0,0.0,0.0,1.0,30.0,1.1458782940673828,0.0,REGULAR,USD,2024-11-08
NDXP241108P18750000,2024-11-05 14:48:39+00:00,18750.0,6.2,0.0,20.0,0.0,0.0,2.0,27.0,1.1350140905761719,0.0,REGULAR,USD,2024-11-08
NDXP241108P18775000,2024-11-06 18:00:46+00:00,18775.0,0.4,0.0,20.0,0.0,0.0,1.0,21.0,1.1241498870849609,0.0,REGULAR,USD,2024-11-08
NDXP241108P18800000,2024-11-08 15:01:22+00:00,18800.0,0.1,0.0,20.0,-0.059999995,-37.499996,1.0,78.0,1.113316201019287,0.0,REGULAR,USD,2024-11-08
NDXP241108P18810000,2024-11-04 20:28:30+00:00,18810.0,14.1,0.0,20.0,0.0,0.0,7.0,19.0,1.1089827265930179,0.0,REGULAR,USD,2024-11-08
NDXP241108P18820000,2024-11-04 20:28:30+00:00,18820.0,14.6,0.0,20.0,0.0,0.0,1.0,22.0,1.1046492521667481,0.0,REGULAR,USD,2024-11-08
NDXP241108P18825000,2024-11-05 14:43:37+00:00,18825.0,8.55,0.0,20.0,0.0,0.0,15.0,13.0,1.1024825149536137,0.0,REGULAR,USD,2024-11-08
NDXP241108P18830000,2024-11-05 16:54:49+00:00,18830.0,7.7,0.0,20.0,0.0,0.0,2.0,6.0,1.1003157777404786,0.0,REGULAR,USD,2024-11-08
NDXP241108P18850000,2024-11-05 20:59:01+00:00,18850.0,9.4,0.0,20.0,0.0,0.0,2.0,16.0,1.0916183114624025,0.0,REGULAR,USD,2024-11-08
NDXP241108P18870000,2024-11-04 20:30:22+00:00,18870.0,18.0,0.0,20.0,0.0,0.0,3.0,2.0,1.0829513626098635,0.0,REGULAR,USD,2024-11-08
NDXP241108P18875000,2024-11-05 17:18:36+00:00,18875.0,8.79,0.0,20.0,0.0,0.0,2.0,8.0,1.0807846253967288,0.0,REGULAR,USD,2024-11-08
NDXP241108P18880000,2024-11-04 18:50:44+00:00,18880.0,18.28,0.0,20.0,0.0,0.0,12.0,12.0,1.0786178881835937,0.0,REGULAR,USD,2024-11-08
NDXP241108P18890000,2024-11-05 19:46:36+00:00,18890.0,12.0,0.0,20.0,0.0,0.0,2.0,10.0,1.0742844137573244,0.0,REGULAR,USD,2024-11-08
NDXP241108P18900000,2024-11-06 15:38:56+00:00,18900.0,0.9,0.0,20.0,0.0,0.0,40.0,62.0,1.069950939331055,0.0,REGULAR,USD,2024-11-08
NDXP241108P18910000,2024-10-24 19:46:03+00:00,18910.0,63.68,0.0,20.0,0.0,0.0,,0.0,1.0656174649047854,0.0,REGULAR,USD,2024-11-08
NDXP241108P18925000,2024-11-04 20:20:39+00:00,18925.0,20.5,0.0,20.0,0.0,0.0,2.0,15.0,1.059117253265381,0.0,REGULAR,USD,2024-11-08
NDXP241108P18940000,2024-11-06 15:28:28+00:00,18940.0,1.0,0.0,20.0,0.0,0.0,1.0,56.0,1.0526170416259766,0.0,REGULAR,USD,2024-11-08
NDXP241108P18960000,2024-11-05 19:46:36+00:00,18960.0,13.6,0.0,20.0,0.0,0.0,1.0,15.0,1.0439500927734378,0.0,REGULAR,USD,2024-11-08
NDXP241108P18975000,2024-11-07 17:24:25+00:00,18975.0,0.32,0.0,20.0,0.0,0.0,1.0,22.0,1.037419363708496,0.0,REGULAR,USD,2024-11-08
NDXP241108P18980000,2024-11-04 19:02:02+00:00,18980.0,25.0,0.0,20.0,0.0,0.0,3.0,6.0,1.0352526264953616,0.0,REGULAR,USD,2024-11-08
NDXP241108P18990000,2024-11-05 19:46:36+00:00,18990.0,14.4,0.0,20.0,0.0,0.0,1.0,8.0,1.030919152069092,0.0,REGULAR,USD,2024-11-08
NDXP241108P19000000,2024-11-07 19:50:58+00:00,19000.0,0.25,0.0,20.0,0.0,0.0,11.0,91.0,1.0265856776428224,0.0,REGULAR,USD,2024-11-08
NDXP241108P19010000,2024-11-05 19:46:21+00:00,19010.0,15.0,0.0,20.0,0.0,0.0,1.0,10.0,1.0222522032165526,0.0,REGULAR,USD,2024-11-08
NDXP241108P19025000,2024-11-05 14:43:37+00:00,19025.0,16.7,0.0,20.0,0.0,0.0,15.0,8.0,1.0157519915771485,0.0,REGULAR,USD,2024-11-08
NDXP241108P19040000,2024-11-05 19:46:36+00:00,19040.0,15.9,0.0,20.0,0.0,0.0,1.0,8.0,1.0092517799377443,0.0,REGULAR,USD,2024-11-08
NDXP241108P19050000,2024-11-06 16:59:37+00:00,19050.0,0.6,0.0,20.0,0.0,0.0,1.0,6.0,1.0049183055114745,0.0,REGULAR,USD,2024-11-08
