contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,maturity
XOM250221P00095000,2024-11-08 16:18:11+00:00,95.0,0.37,0.18,0.4,-0.07999998,-17.777775,5.0,211.0,0.28516339843749994,False,REGULAR,USD,2025-02-21
XOM250221P00100000,2024-11-08 19:26:42+00:00,100.0,0.58,0.54,0.59,-0.04000002,-6.451616,16.0,957.0,0.25830819824218754,False,REGULAR,USD,2025-02-21
XOM250221P00105000,2024-11-08 20:56:05+00:00,105.0,1.0,0.99,1.02,-0.22000003,-18.03279,127.0,1148.0,0.242195078125,False,REGULAR,USD,2025-02-21
XOM250221P00110000,2024-11-08 19:31:24+00:00,110.0,1.82,1.74,1.81,-0.049999952,-2.6737943,68.0,4128.0,0.2310867907714844,False,REGULAR,USD,2025-02-21
XOM250221P00115000,2024-11-08 20:59:43+00:00,115.0,3.05,2.97,3.1,-0.08000016,-2.5559156,25.0,1286.0,0.22229781616210934,False,REGULAR,USD,2025-02-21
XOM250221P00120000,2024-11-08 20:09:10+00:00,120.0,4.93,4.85,5.0,-0.03000021,-0.60484296,105.0,2032.0,0.21381401428222657,False,REGULAR,USD,2025-02-21
XOM250221P00125000,2024-11-08 18:10:45+00:00,125.0,7.85,7.55,7.7,-0.4500003,-5.4216905,7.0,420.0,0.20960263061523435,True,REGULAR,USD,2025-02-21
XOM250221P00130000,2024-11-08 19:51:54+00:00,130.0,10.9,11.0,11.2,-1.3500004,-11.020411,1.0,159.0,0.2108233215332031,True,REGULAR,USD,2025-02-21
XOM250221P00135000,2024-10-16 14:45:18+00:00,135.0,15.5,15.15,15.35,0.0,0.0,1.0,4.0,0.2192460888671875,True,REGULAR,USD,2025-02-21
XOM250221P00140000,2024-10-31 14:38:10+00:00,140.0,22.8,19.55,20.25,0.0,0.0,16.0,15.0,0.2564771618652344,True,REGULAR,USD,2025-02-21
XOM250221P00145000,2024-10-08 14:06:17+00:00,145.0,23.35,0.0,0.0,0.0,0.0,3.0,3.0,1.0000000000000003e-05,True,REGULAR,USD,2025-02-21
XOM250321P00060000,2024-10-29 17:45:05+00:00,60.0,0.03,0.0,0.15,0.0,0.0,104.0,108.0,0.5371140039062501,False,REGULAR,USD,2025-03-21
XOM250321P00065000,2024-09-11 13:34:06+00:00,65.0,0.19,0.0,0.0,0.0,0.0,4.0,66.0,0.2500075,False,REGULAR,USD,2025-03-21
XOM250321P00070000,2024-11-07 20:47:48+00:00,70.0,0.05,0.0,0.1,0.0,0.0,1.0,498.0,0.405279384765625,False,REGULAR,USD,2025-03-21
XOM250321P00075000,2024-11-08 16:34:09+00:00,75.0,0.1,0.02,0.25,-0.050000004,-33.333336,1.0,146.0,0.41260353027343744,False,REGULAR,USD,2025-03-21
XOM250321P00080000,2024-11-08 17:49:51+00:00,80.0,0.12,0.04,0.27,-0.04,-25.0,3.0,4198.0,0.36865865722656255,False,REGULAR,USD,2025-03-21
