contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
NDXP241107C21225000,2024-11-07 20:57:09+00:00,21225.0,0.05,0.0,0.05,-2.15,-97.72728,1816.0,14.0,0.041391422119140625,0.0,REGULAR,USD
NDXP241107C21250000,2024-11-07 20:40:28+00:00,21250.0,0.21,0.0,0.05,-1.4399999,-87.27273,840.0,29.0,0.04883763671875,0.0,REGULAR,USD
NDXP241107C21275000,2024-11-07 20:47:43+00:00,21275.0,0.05,0.0,0.05,-1.38,-96.5035,512.0,7.0,0.0561617822265625,0.0,REGULAR,USD
NDXP241107C21300000,2024-11-07 20:57:23+00:00,21300.0,0.05,0.0,0.05,-0.9,-94.73685,967.0,48.0,0.063485927734375,0.0,REGULAR,USD
NDXP241107C21325000,2024-11-07 20:26:16+00:00,21325.0,0.05,0.0,0.05,-1.0300001,-95.37038,824.0,8.0,0.07056593505859377,0.0,REGULAR,USD
NDXP241107C21350000,2024-11-07 20:26:24+00:00,21350.0,0.1,0.0,0.2,-0.63,-86.30137,335.0,89.0,0.08948664428710937,0.0,REGULAR,USD
NDXP241107C21375000,2024-11-07 20:05:43+00:00,21375.0,0.14,0.0,0.05,-0.61,-81.333336,160.0,48.0,0.08472594970703126,0.0,REGULAR,USD
NDXP241107C21400000,2024-11-07 20:22:16+00:00,21400.0,0.1,0.0,0.05,-0.78999996,-88.764046,113.0,38.0,0.09156181884765624,0.0,REGULAR,USD
NDXP241107C21425000,2024-11-07 19:34:04+00:00,21425.0,0.4,0.0,0.1,-0.73,-64.60177,214.0,4.0,0.10511148803710937,0.0,REGULAR,USD
NDXP241107C21475000,2024-11-07 19:27:23+00:00,21475.0,0.2,0.0,0.05,-0.41000003,-67.21312,27.0,12.0,0.11231356445312499,0.0,REGULAR,USD
NDXP241107C21500000,2024-11-07 20:10:53+00:00,21500.0,0.05,0.0,20.0,-0.69,-93.24324,230.0,78.0,0.30405359039306634,0.0,REGULAR,USD
NDXP241107C21525000,2024-11-07 20:20:44+00:00,21525.0,0.05,0.0,0.35,-0.55,-91.666664,19.0,46.0,0.15235222656250003,0.0,REGULAR,USD
NDXP241107C21550000,2024-11-07 18:58:45+00:00,21550.0,0.1,0.0,0.3,-0.42999998,-81.13207,31.0,31.0,0.15747912841796874,0.0,REGULAR,USD
NDXP241107C21575000,2024-11-07 18:53:17+00:00,21575.0,0.21,0.0,20.0,-0.14,-40.0,7.0,37.0,0.343207251586914,0.0,REGULAR,USD
NDXP241107C21600000,2024-11-07 19:03:54+00:00,21600.0,0.15,0.0,20.0,-0.4,-72.72727,35.0,85.0,0.35597873031616206,0.0,REGULAR,USD
NDXP241107C21625000,2024-11-07 19:32:40+00:00,21625.0,0.21,0.0,20.0,-0.44,-67.69231,13.0,3.0,0.3686357692718506,0.0,REGULAR,USD
