Indx,Call_ContractID,Call_Bid,Call_Ask,Call_Vol,Call_OI,Call_PrChg,Call_PrChgPct,Call_LastTrTime,Call_LastPr,Call_ImplVol,Call_ITM,Strike,Put_ITM,Put_ImplVol,Put_LastPr,Put_LastTrTime,Put_PrChgPct,Put_PrChg,Put_OI,Put_Vol,Put_Ask,Put_Bid,Put_ContractID
160,SPX230616C03915000,309.2,315.4,2,0,0,0,17/05/2023 12:53,264.42,0.277656149,TRUE,3915,FALSE,0.197899256,12.2,18/05/2023 15:55,0,0,0,4,11.4,11.2,SPXW230616P03915000
161,SPX230616C03920000,304.5,310.7,1,0,0,0,18/05/2023 11:36,284.6,0.27541313,TRUE,3920,FALSE,0.196663307,12.5,18/05/2023 15:55,0,0,0,17,11.7,11.5,SPXW230616P03920000
162,SPX230616C03925000,301.4,306.3,1,0,0,0,17/05/2023 09:30,238.4,0.274108516,TRUE,3925,FALSE,0.193520028,12.41,18/05/2023 15:54,0,0,0,108,11.6,11.4,SPX230616P03925000
163,SPX230616C03930000,296.2,300.9,1,0,0,0,17/05/2023 09:30,234.6,0.269584331,TRUE,3930,FALSE,0.194061709,12.7,18/05/2023 16:11,0,0,0,30,12.3,12,SPXW230616P03930000
164,SPX230616C03935000,291.6,296.2,15,0,0,0,26/04/2023 11:36,217.8,0.267284091,TRUE,3935,FALSE,0.191353301,13.07,18/05/2023 15:56,0,0,0,372,12.3,12,SPX230616P03935000
165,SPX230616C03940000,286.9,291.5,3,0,0,0,17/05/2023 12:53,241.42,0.264968593,TRUE,3940,FALSE,0.191292267,13.9,18/05/2023 15:55,0,0,0,6,12.9,12.7,SPXW230616P03940000
166,SPX230616C03945000,282.2,286.9,2,0,0,0,05/05/2023 10:41,231.85,0.262939194,TRUE,3945,FALSE,0.1881261,16,18/05/2023 14:37,0,0,0,31,12.8,12.6,SPX230616P03945000
167,SPX230616C03950000,278.1,280.7,43,0,0,0,18/05/2023 16:00,267.5,0.255924036,TRUE,3950,FALSE,0.187096142,13.75,18/05/2023 16:05,0,0,0,629,13.2,12.9,SPX230616P03950000
168,SPX230616C03955000,272.9,277.6,2,0,0,0,11/05/2023 14:35,215.15,0.258498931,TRUE,3955,FALSE,0.186012779,16.9,18/05/2023 14:38,0,0,0,40,13.6,13.3,SPX230616P03955000
169,SPX230616C03960000,268.2,272.9,71,0,0,0,18/05/2023 15:52,268,0.256088067,TRUE,3960,FALSE,0.184471656,17.3,18/05/2023 14:37,0,0,0,44,13.9,13.5,SPX230616P03960000
170,SPX230616C03965000,263.6,268.3,1,0,0,0,17/05/2023 10:17,196.9,0.253959487,TRUE,3965,FALSE,0.183289112,14.95,18/05/2023 15:50,0,0,0,210,14.3,14,SPX230616P03965000
171,SPX230616C03970000,259,263.8,24,0,0,0,18/05/2023 13:48,227.5,0.252097933,TRUE,3970,FALSE,0.181664067,15.66,18/05/2023 15:54,0,0,0,395,14.6,14.3,SPX230616P03970000
172,SPX230616C03975000,254.4,259,5,0,0,0,18/05/2023 15:40,242.35,0.249320861,TRUE,3975,FALSE,0.180382342,15.68,18/05/2023 16:09,0,0,0,320,15,14.7,SPX230616P03975000
173,SPX230616C03980000,249.8,254.6,1,0,0,0,17/05/2023 09:30,190.7,0.247695817,TRUE,3980,FALSE,0.17905484,17.77,18/05/2023 15:34,0,0,0,258,15.4,15.1,SPX230616P03980000
174,SPXW230616C03985000,245.7,249.8,2,0,0,0,18/05/2023 15:47,240.69,0.244872969,TRUE,3985,FALSE,0.177681563,17.85,18/05/2023 15:40,0,0,0,21,15.8,15.5,SPX230616P03985000
175,SPX230616C03990000,240.6,245.4,1,0,0,0,17/05/2023 09:30,182.9,0.24317926,TRUE,3990,FALSE,0.176254881,18.2,18/05/2023 15:42,0,0,0,15,16.2,15.9,SPX230616P03990000
176,SPXW230616C03995000,236.5,240.5,3,0,0,0,05/05/2023 10:49,190.78,0.240028352,TRUE,3995,FALSE,0.174782422,18.85,18/05/2023 15:41,0,0,0,482,16.6,16.3,SPX230616P03995000
